"abbreviation","name","description","logo"
"АГУ","Адыгейский государственный университет",,
"АлтГУ","Алтайский государственный университет",,
"АГУ им. В.Н. Татищева","Астраханский государственный университет",,
"БФУ им. И. Канта","Балтийский федеральный университет имени Иммануила Канта",,
"БГМУ","Башкирский государственный медицинский университет",,
"БелГУ","Белгородский государственный национальный исследовательский университет",,
"БГСХА им. В.Р. Филиппова","Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова",,
"ВМА","Военно-медицинская Академия имени С. М.Кирова",,
"ВГИК","Всероссийский государственный университет кинематографии имени С.А.Герасимова",,
"ВятГУ","Вятский государственный университет",,
"ДВГАФК","Дальневосточная государственная академия физической культуры",,
"ДВФУ","Дальневосточный федеральный университет",,
"ДГТУ","Донской государственный технический университет",,
"ЗабГУ","Забайкальский государственный университет",,
"ИрНИТУ","Иркутский национальный исследовательский технический университет",,
"КФУ","Казанский (Приволжский) федеральный университет",,
"Казанского ГМУ","Казанский государственный медицинский университет",,
"КНИТУ-КАИ","Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ",,
"КНИТУ","Казанский национальный исследовательский технологический университет",,
"КалмГУ","Калмыцкий государственный университет имени Б.Б. Городовикова",,
"КемГУ","Кемеровский государственный университет",,
"КубГАУ","Кубанский государственный аграрный университет имени И.Т. Трубилина",,
"КубГМУ","Кубанский государственный медицинский университет",,
"МАИ","Московский авиационный институт (национальный исследовательский университет)",,
"МГПУ","Московский городской педагогический университет",,
"МГИМО","Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации",,
"МГМСУ","Московский государственный медико-стоматологический университет имени А.И. Евдокимова",,
"МГППУ","Московский государственный психолого-педагогический университет",,
"МГТУ им. Н.Э. Баумана","Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)",,
"МГТУ СТАНКИН","Московский государственный технологический университет «СТАНКИН»",,
"МГУПП","Московский государственный университет пищевых производств",,
"МГЮА","Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)",,
"Московский Политех","Московский политехнический университет",,
"МФТИ","Московский физико-технический институт (национальный исследовательский университет)",,
"НГУ им. Н.И. Лобачевского","Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского",,
"МИСИС","Национальный исследовательский технологический университет «МИСиС»",,
"ТомГУ","Национальный исследовательский Томский государственный университет",,
"ТПУ","Национальный исследовательский Томский политехнический университет",,
"ВШЭ","Национальный исследовательский университет «Высшая школа экономики»",,
"МИЭТ","Национальный исследовательский университет «Московский институт электронной техники»",,
"НИУ МЭИ","Национальный исследовательский университет «МЭИ»",,
"ИТМО","Национальный исследовательский университет ИТМО",,
"НИЯУ МИФИ","Национальный исследовательский ядерный университет «МИФИ»",,
"НГТУ им. Р.Е. Алексеева","Нижегородский государственный технический университет им. Р.Е. Алексеева",,
"НовГУ","Новгородский государственный университет имени Ярослава Мудрого",,
"НГТУ","Новосибирский государственный технический университет",,
"НГУ","Новосибирский национальный исследовательский государственный университет",,
"ОмГТУ","Омский государственный технический университет",,
"ОГУ","Оренбургский государственный университет",,
"Сеченовский Университет","Первый Московский государственный медицинский университет имени И.М. Сеченова",,
"ПГНИУ","Пермский государственный национальный исследовательский университет",,
"ПНИПУ","Пермский национальный исследовательский политехнический университет",,
"ПГУПС","Петербургский государственный университет путей сообщения Императора Александра I",,
"ПИМУ","Приволжский исследовательский медицинский университет",,
"РАНХиГС","Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации",,
"РНИМУ","Российский национальный исследовательский медицинский университет имени Н.И. Пирогова",,
"РУДН","Российский университет дружбы народов",,
"РУТ (МИИТ)","Российский университет транспорта",,
"РХТУ","Российский химико-технологический университет имени Д.И. Менделеева",,
"РЭУ им. Г.В. Плеханова","Российский экономический университет имени Г.В. Плеханова",,
"СамГМУ","Самарский государственный медицинский университет",,
"Самарский университет","Самарский национальный исследовательский университет имени академика С.П. Королева",,
"СПГУ","Санкт-Петербургский горный университет",,
"СПбГМТУ","Санкт-Петербургский государственный морской технический университет",,
"ГУАП","Санкт-Петербургский государственный университет аэрокосмического приборостроения",,
"СПбГЭТУ «ЛЭТИ»","Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)",,
"СПбПУ","Санкт-Петербургский политехнический университет Петра Великого",,
"СКФУ","Северо-Кавказский федеральный университет",,
"СибГМУ","Сибирский государственный медицинский университет",,
"СФУ","Сибирский федеральный университет",,
"СурГУ","Сургутский государственный университет",,
"ТГУ им. Г.Р. Державина","Тамбовский государственный университет имени Г.Р. Державина",,
"ТИ им. Б. Щукина","Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова",,
"ТГМУ","Тихоокеанский государственный медицинский университет",,
"ТОГУ","Тихоокеанский государственный университет",,
"ТГУ","Тольяттинский государственный университет",,
"ТГАСУ","Томский государственный архитектурно-строительный университет",,
"ТУСУР","Томский государственный университет систем управления и радиоэлектроники",,
"ТГПУ","Тульский государственный педагогический университет им. Л.Н. Толстого",,
"ТюмГМУ","Тюменский государственный медицинский университет",,
"ТюмГУ","Тюменский государственный университет",,
"Иннополис","Университет Иннополис",,
"УГГУ","Уральский государственный горный университет",,
"УГМУ","Уральский государственный медицинский университет",,
"УРФУ","Уральский федеральный университет имени первого Президента России Б.Н. Ельцина",,
"УУНиТ","Уфимский университет науки и технологий",,
"ЮФУ","Южный федеральный университет",,
